"fema.dis","priv.dis","INSURADJ.L","ppinc.adj","comp","reagan1","reagan2","bush","clinton1","clinton1.1","wbush","p1","p2","p3","p4","cong.pres","pres.party","state","ev","year"
2,4,17.3020677886133,17217.8568049229,39.5746591595826,1,0,0,0,0,0,1,0,0,0,0.444444444444444,0,"Alabama",9,1981
0,3,16.5791978393515,17137.04469653,39.5746591595826,1,0,0,0,0,0,0,1,0,0,0.444444444444444,0,"Alabama",9,1982
1,9,18.3787487774849,17724.7116350571,39.5746591595826,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,"Alabama",9,1983
0,5,17.4991861841717,18755.5612505348,39.5746591595826,1,0,0,0,0,0,0,0,0,1,0.333333333333333,0,"Alabama",9,1984
1,6,19.2855021404204,19372.7427527617,43.7978474545958,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,"Alabama",9,1985
0,1,15.0045947499215,20006.3064503154,43.7978474545958,0,1,0,0,0,0,0,1,0,0,0.333333333333333,0,"Alabama",9,1986
0,1,15.8853978867871,20359.4917718429,43.7978474545958,0,1,0,0,0,0,0,0,1,0,0.222222222222222,1,"Alabama",9,1987
0,6,18.7973668873865,20881.8004158166,43.7978474545958,0,1,0,0,0,0,0,0,0,1,0.222222222222222,1,"Alabama",9,1988
1,6,19.435048637991,21606.67684185,42.7715659811845,0,0,1,0,0,0,1,0,0,0,0.25,1,"Alabama",9,1989
2,4,17.9410018492569,21686.7634705174,42.7715659811845,0,0,1,0,0,0,0,1,0,0,0.25,1,"Alabama",9,1990
1,6,18.3565824607012,21729.602176417,42.7715659811845,0,0,1,0,0,0,0,0,1,0,0.222222222222222,1,"Alabama",9,1991
0,4,17.5604794786893,22271.4497066568,42.7715659811845,0,0,1,0,0,0,0,0,0,1,0.222222222222222,1,"Alabama",9,1992
0,1,18.2092983929019,22177.8302106693,41.7233032635633,0,0,0,1,1,0,1,0,0,0,0.666666666666667,0,"Alabama",9,1993
3,5,18.59406278575,22634.6787559657,41.7233032635633,0,0,0,1,1,0,0,1,0,0,0.666666666666667,0,"Alabama",9,1994
2,4,19.7806577967539,23007.2009002984,41.7233032635633,0,0,0,1,1,0,0,0,1,0,0.444444444444444,0,"Alabama",9,1995
2,4,18.0468209752662,23081.3944264574,41.7233032635633,0,0,0,1,1,0,0,0,0,1,0.444444444444444,0,"Alabama",9,1996
1,5,18.1782949464556,23516.4684497314,44.2331446627731,0,0,0,0,0,0,1,0,0,0,0.222222222222222,0,"Alabama",9,1997
3,6,19.3303269329833,24363.4981758719,44.2331446627731,0,0,0,0,0,0,0,1,0,0,0.222222222222222,0,"Alabama",9,1998
1,3,17.3888991636803,24591.0952903123,44.2331446627731,0,0,0,0,0,0,0,0,1,0,0.222222222222222,1,"Alabama",9,1999
3,2,18.3703219520445,24888.2028490647,44.2331446627731,0,0,0,0,0,0,0,0,0,1,0.222222222222222,1,"Alabama",9,2000
2,3,18.4368101259791,25219.0627778643,44.9531579988865,0,0,0,0,0,1,1,0,0,0,0.777777777777778,1,"Alabama",9,2001
2,3,18.6438242952666,25373.9236186775,44.9531579988865,0,0,0,0,0,1,0,1,0,0,0.777777777777778,0,"Alabama",9,2002
1,8,19.0131268961083,25684.7804499053,44.9531579988865,0,0,0,0,0,1,0,0,1,0,0.777777777777778,1,"Alabama",9,2003
1,1,20.8682916088567,26522.2792171257,44.9531579988865,0,0,0,0,0,1,0,0,0,1,0.777777777777778,1,"Alabama",9,2004
0,0,0,32875.1587470371,36.0458141621097,1,0,0,0,0,0,1,0,0,0,1,1,"Alaska",3,1981
0,0,0,34649.7562705057,36.0458141621097,1,0,0,0,0,0,0,1,0,0,1,1,"Alaska",3,1982
0,0,0,34735.9830060032,36.0458141621097,1,0,0,0,0,0,0,0,1,0,1,0,"Alaska",3,1983
0,0,0,33859.8376259048,36.0458141621097,1,0,0,0,0,0,0,0,0,1,1,0,"Alaska",3,1984
0,0,0,34038.5819052495,33.9176909779539,0,1,0,0,0,0,1,0,0,0,1,0,"Alaska",3,1985
2,0,0,32577.2600738934,33.9176909779539,0,1,0,0,0,0,0,1,0,0,1,0,"Alaska",3,1986
0,0,0,30726.0129271588,33.9176909779539,0,1,0,0,0,0,0,0,1,0,1,0,"Alaska",3,1987
1,0,0,30346.3867892059,33.9176909779539,0,1,0,0,0,0,0,0,0,1,1,0,"Alaska",3,1988
2,1,15.5743189269704,31435.8406919791,33.8271947577297,0,0,1,0,0,0,1,0,0,0,1,0,"Alaska",3,1989
0,0,0,31454.3261904806,33.8271947577297,0,0,1,0,0,0,0,1,0,0,1,0,"Alaska",3,1990
1,0,0,30677.4784041695,33.8271947577297,0,0,1,0,0,0,0,0,1,0,1,0,"Alaska",3,1991
0,1,17.6193199787122,30573.56498457,33.8271947577297,0,0,1,0,0,0,0,0,0,1,1,0,"Alaska",3,1992
0,0,0,30634.1043220458,37.40216929312,0,0,0,1,1,0,1,0,0,0,0,0,"Alaska",3,1993
1,0,0,30473.9919958247,37.40216929312,0,0,0,1,1,0,0,1,0,0,0,0,"Alaska",3,1994
1,0,0,30181.9966293614,37.40216929312,0,0,0,1,1,0,0,0,1,0,0,1,"Alaska",3,1995
1,0,0,29661.0120032291,37.40216929312,0,0,0,1,1,0,0,0,0,1,0,1,"Alaska",3,1996
0,0,0,30065.8160720746,40.2779726737475,0,0,0,0,0,0,1,0,0,0,0,1,"Alaska",3,1997
0,0,0,30486.5152495458,40.2779726737475,0,0,0,0,0,0,0,1,0,0,0,1,"Alaska",3,1998
0,0,0,30411.7215501081,40.2779726737475,0,0,0,0,0,0,0,0,1,0,0,1,"Alaska",3,1999
